Anchorage	61°13'N	149°54'W
Andalusia	31°18'N	86°29'W
Anderson, Alaska	64°25'N	149°15'W
Anderson, Calif.,	40°27'N	122°18'W
Anderson, Ind.,	40°10'N	85°41'W
Anderson, Mo.,	36°39'N	94°27'W
Anderson, S.C.,	34°31'N	82°39'W
Andes	42°12'N	74°47'W
Andover, Maine	44°38'N	70°45'W
Andover, Mass.,	42°40'N	71°08'W
Andover, N.J.,	40°59'N	74°45'W
Andover, N.Y.,	42°10'N	77°48'W
Andover, Ohio	41°36'N	80°34'W
Andreanof Is.,	51°30'N	176°00'W
Andrews, S.C.	33°27'N	79°34'W
Andrews, Tex.,	32°19'N	102°33'W
Androscoggin	43°58'N	70°00'W
Angels Camp	38°04'N	120°32'W
Angleton	29°10'N	95°26'W
Angola, Ind.,	41°38'N	85°00'W
Angola, N.Y.,	42°38'N	79°02'W
Animas	36°43'N	108°13'W
Ankeny	41°44'N	93°36'W
Ann, C.,	42°38'N	70°35'W
Ann Arbor	42°17'N	83°45'W
Anna	37°28'N	89°15'W
Annapolis	38°59'N	76°30'W
Anniston	33°39'N	85°50'W
Annville	40°20'N	76°31'W
Ansley	41°18'N	99°23'W
Anson	32°45'N	99°54'W
Ansonia	41°21'N	73°05'E
Antero, Mt.,	38°41'N	106°15'W
Anthony, Kans.,	37°09'N	98°02'W
Anthony, N. Mex.,	32°00'N	106°36'W
Antigo	45°09'N	89°09'W
Antioch	38°01'N	121°48'W
Antlers	34°14'N	95°37'W
Anton	33°49'N	102°10'W
Antrim	40°07'N	81°21'W
Antwerp	44°12'N	75°37'W
Anza	33°35'N	116°39'W
Apache	34°54'N	98°22'W
Apache Junction	33°25'N	111°33'W
Apalachee B.,	30°00'N	84°00'W
Apalachicola	29°43'N	84°59'W
Apalachicola	29°43'N	84°58'W
Apostle Is.,	47°00'N	90°40'W
Appalachian Mts.,	38°00'N	80°00'W
Apple Valley	34°32'N	117°14'W
Appleton	44°16'N	88°25'W
Arab	34°19'N	86°30'W
Aransas Pass	27°55'N	97°09'W
Arapahoe	40°18'N	99°54'W
Arbuckle	39°01'N	122°03'W
Arcade, Calif	34°02'N	118°15'W
Aracade, N.Y.,	42°32'N	78°25'W
Arcadia, Fla.,	27°13'N	81°52'W
Arcadia, La.,	32°33'N	92°55'W
Arcadia, Pa.,	40°47'N	78°51'W
Arcata	40°52'N	124°05'W
Archbald	41°30'N	75°32'W
Arches Nat. Park	38°45'N	109°25'W
Arco	43°38'N	113°18'W
Arden, Calif.,	38°46'N	121°33'W
Arden, Nev	36°01'N	115°14'W
Ardmore, Okla.,	34°10'N	97°08'W
Ardmore, Pa.,	39°58'N	75°18'W
Arena, Pt.,	38°57'N	123°44'W
Arguelio, Pt.,	34°35'N	120°39'W
Argus Pk.,	35°52'N	117°26'W
Arizona	34°00'N	112°00'W
Arkadelphia	34°07'N	93°04'W
Arkansas	35°00'N	92°30'W
Arkansas	33°47'N	91°04'W
Arkansas City	37°04'N	97°02'W
Arkport	42°24'N	77°42'W
Arkville	42°09'N	74°37'W
Arlington, N.Y.,	41°42'N	73°54'W
Arlington, Oreg.,	45°43'N	120°12'W
Arlington, S. Dak.,	44°22'N	97°08'W
Arlington, Tex.,	32°44'N	97°07'W
Arlington, Va.,	38°53'N	77°07'W
Arlington, Vt.,	43°05'N	73°09'W
Arlington, Wash.,	48°12'N	122°08'W
Arlington Heights	42°05'N	87°59'W
Armour,	43°19'N	98°21'W
Arnett	36°08'N	99°46'W
Arnold	38°15'N	120°20'W
Arrowhead, L.,	34°16'N	117°10'W
Arroyo Grande	35°07'N	120°35'W
Artesia	32°51'N	104°24'W
Arvada, Colo.,	39°48'N	105°05'W
Arvada, Wyo.,	44°39'N	106°08'W
Arvin	35°12'N	118°50'W
Asbury Park	40°13'N	74°01'W
Ash Fork	35°13'N	112°29'W
Ash Grove	37°19'N	93°35'W
Ashburn	31°43'N	83°39'W
Ashdown	33°40'N	94°08'W
Asheboro	35°43'N	79°49'W
Asherton	28°27'N	99°46'W
Asheville	35°36'N	82°33'W
Ashland, Kans.,	37°11'N	99°46'W
Ashland, Ky.,	38°28'N	82°38'W
Ashland, Mont.,	45°36'N	106°16'W
Ashland, Ohio	40°52'N	82°19'W
Ashland, Oreg.,	42°12'N	122°43'W
Ashland, Pa.,	40°45'N	76°22'W
Ashland, Va.,	37°46'N	77°29'W
Ashland, Wis.,	46°35'N	90°53'W
Ashley, N. Dak.,	46°02'N	99°22'W
Ashley, Pa.,	41°12'N	75°55'W
Ashokan Reservoir	41°56'N	74°13'W
Ashtabula	41°52'N	80°47'W
Ashton	44°04'N	111°27'W
Ashville	40°34'N	78°33'W
Aspen	39°11'N	106°49'W
Aspermont	33°08'N	100°14'W
Astoria	46°11'N	123°50'W
Atascadero	35°29'N	120°40'W
Atchafalaya B.,	29°25'N	91°25'W
Atchison	39°34'N	95°07'W
Athens, Ala.,	34°48'N	86°58'W
Athens, Ga.,	33°57'N	83°23'W
Athens, N.Y.,	42°16'N	73°49'W
Athens, Ohio	39°20'N	82°06'W
Athens, Pa.,	41°57'N	76°31'W
Athens, Tenn.,	47°57'N	76°31'W
Athens, Tex.,	32°12'N	95°51'W
Athol	42°36'N	72°14'W
